Freq.	gain	phase
3.98107170553494e+00	-1.80807835492910e+01	-8.28349990501925e+01
4.07380277804109e+00	-1.82777672105316e+01	-8.29964765852567e+01
4.16869383470332e+00	-1.84748870274939e+01	-8.31543870381813e+01
4.26579518801589e+00	-1.86721371574890e+01	-8.33088045362784e+01
4.36515832240162e+00	-1.88695120112112e+01	-8.34598019779120e+01
4.46683592150959e+00	-1.90670062428551e+01	-8.36074510314394e+01
4.57088189614871e+00	-1.92646147405821e+01	-8.37518221359519e+01
4.67735141287194e+00	-1.94623326173303e+01	-8.38929845036743e+01
4.78630092322634e+00	-1.96601552019614e+01	-8.40310061238862e+01
4.89778819368442e+00	-1.98580780307364e+01	-8.41659537682418e+01
5.01187233627268e+00	-2.00560968391139e+01	-8.42978929973671e+01
5.12861383991360e+00	-2.02542075538629e+01	-8.44268881686234e+01
5.24807460249768e+00	-2.04524062854825e+01	-8.45530024449337e+01
5.37031796370248e+00	-2.06506893209208e+01	-8.46762978045725e+01
5.49540873857620e+00	-2.08490531165852e+01	-8.47968350518280e+01
5.62341325190344e+00	-2.10474942916361e+01	-8.49146738284506e+01
5.75439937337152e+00	-2.12460096215567e+01	-8.50298726258078e+01
5.88843655355584e+00	-2.14445960319903e+01	-8.51424887976695e+01
6.02559586074353e+00	-2.16432505928384e+01	-8.52525785735556e+01
6.16595001861477e+00	-2.18419705126110e+01	-8.53601970725790e+01
6.30957344480188e+00	-2.20407531330232e+01	-8.54653983177248e+01
6.45654229034650e+00	-2.22395959238286e+01	-8.55682352505083e+01
6.60693448007590e+00	-2.24384964778847e+01	-8.56687597459598e+01
6.76082975391976e+00	-2.26374525064412e+01	-8.57670226278881e+01
6.91830970918930e+00	-2.28364618346462e+01	-8.58630736843770e+01
7.07945784384132e+00	-2.30355223972626e+01	-8.59569616834728e+01
7.24435960074984e+00	-2.32346322345883e+01	-8.60487343890256e+01
7.41310241300911e+00	-2.34337894885748e+01	-8.61384385766469e+01
7.58577575029177e+00	-2.36329923991377e+01	-8.62261200497524e+01
7.76247116628685e+00	-2.38322393006524e+01	-8.63118236556583e+01
7.94328234724274e+00	-2.40315286186320e+01	-8.63955933017040e+01
8.12830516164092e+00	-2.42308588665789e+01	-8.64774719713755e+01
8.31763771102663e+00	-2.44302286430074e+01	-8.65575017404060e+01
8.51138038202369e+00	-2.46296366286318e+01	-8.66357237928319e+01
8.70963589956073e+00	-2.48290815837143e+01	-8.67121784369848e+01
8.91250938133737e+00	-2.50285623455698e+01	-8.67869051214024e+01
9.12010839355901e+00	-2.52280778262229e+01	-8.68599424506400e+01
9.33254300796983e+00	-2.54276270102122e+01	-8.69313282009704e+01
9.54992586021427e+00	-2.56272089525398e+01	-8.70010993359568e+01
9.77237220955802e+00	-2.58268227767614e+01	-8.70692920218874e+01
9.99999999999991e+00	-2.60264676732137e+01	-8.71359416430614e+01
1.02329299228074e+01	-2.62261428973769e+01	-8.72010828169155e+01
1.04712854805089e+01	-2.64258477683689e+01	-8.72647494089836e+01
1.07151930523760e+01	-2.66255816675681e+01	-8.73269745476811e+01
1.09647819614317e+01	-2.68253440373640e+01	-8.73877906389071e+01
1.12201845430195e+01	-2.70251343800315e+01	-8.74472293804593e+01
1.14815362149687e+01	-2.72249522567289e+01	-8.75053217762556e+01
1.17489755493952e+01	-2.74247972866161e+01	-8.75620981503588e+01
1.20226443461740e+01	-2.76246691460934e+01	-8.76175881607995e+01
1.23026877081237e+01	-2.78245675681582e+01	-8.76718208131959e+01
1.25892541179416e+01	-2.80244923418790e+01	-8.77248244741657e+01
1.28824955169312e+01	-2.82244433119863e+01	-8.77766268845304e+01
1.31825673855639e+01	-2.84244203785800e+01	-8.78272551723083e+01
1.34896288259164e+01	-2.86244234969515e+01	-8.78767358654965e+01
1.38038426460287e+01	-2.88244526775230e+01	-8.79250949046409e+01
1.41253754462274e+01	-2.90245079859009e+01	-8.79723576551937e+01
1.44543977074591e+01	-2.92245895430473e+01	-8.80185489196583e+01
1.47910838816819e+01	-2.94246975255670e+01	-8.80636929495225e+01
1.51356124843619e+01	-2.96248321661128e+01	-8.81078134569799e+01
1.54881661891247e+01	-2.98249937539096e+01	-8.81509336264407e+01
1.58489319246110e+01	-3.00251826353988e+01	-8.81930761258339e+01
1.62181009735891e+01	-3.02253992150045e+01	-8.82342631177003e+01
1.65958690743754e+01	-3.04256439560234e+01	-8.82745162700794e+01
1.69824365246173e+01	-3.06259173816407e+01	-8.83138567671920e+01
1.73780082874936e+01	-3.08262200760744e+01	-8.83523053199186e+01
1.77827941003890e+01	-3.10265526858506e+01	-8.83898821760784e+01
1.81970085860996e+01	-3.12269159212130e+01	-8.84266071305080e+01
1.86208713666285e+01	-3.14273105576693e+01	-8.84624995349445e+01
1.90546071796323e+01	-3.16277374376799e+01	-8.84975783077138e+01
1.94984459975803e+01	-3.18281974724899e+01	-8.85318619432280e+01
1.99526231496886e+01	-3.20286916441114e+01	-8.85653685212919e+01
2.04173794466951e+01	-3.22292210074600e+01	-8.85981157162248e+01
2.08929613085402e+01	-3.24297866926489e+01	-8.86301208057966e+01
2.13796208950221e+01	-3.26303899074486e+01	-8.86614006799837e+01
2.18776162394953e+01	-3.28310319399154e+01	-8.86919718495452e+01
2.23872113856832e+01	-3.30317141611972e+01	-8.87218504544244e+01
2.29086765276775e+01	-3.32324380285209e+01	-8.87510522719760e+01
2.34422881531990e+01	-3.34332050883702e+01	-8.87795927250238e+01
2.39883291901947e+01	-3.36340169798606e+01	-8.88074868897510e+01
2.45470891568500e+01	-3.38348754383192e+01	-8.88347495034248e+01
2.51188643150955e+01	-3.40357822990785e+01	-8.88613949719603e+01
2.57039578276884e+01	-3.42367395014928e+01	-8.88874373773251e+01
2.63026799189535e+01	-3.44377490931870e+01	-8.89128904847870e+01
2.69153480392689e+01	-3.46388132345475e+01	-8.89377677500093e+01
2.75422870333814e+01	-3.48399342034669e+01	-8.89620823259948e+01
2.81838293126442e+01	-3.50411144003531e+01	-8.89858470698823e+01
2.88403150312657e+01	-3.52423563534150e+01	-8.90090745495977e+01
2.95120922666635e+01	-3.54436627242387e+01	-8.90317770503633e+01
3.01995172040198e+01	-3.56450363136669e+01	-8.90539665810672e+01
3.09029543251356e+01	-3.58464800679957e+01	-8.90756548804955e+01
3.16227766016835e+01	-3.60479970855056e+01	-8.90968534234308e+01
3.23593656929625e+01	-3.62495906233420e+01	-8.91175734266187e+01
3.31131121482588e+01	-3.64512641047618e+01	-8.91378258546056e+01
3.38844156139199e+01	-3.66530211267667e+01	-8.91576214254495e+01
3.46736850452528e+01	-3.68548654681398e+01	-8.91769706163076e+01
3.54813389233571e+01	-3.70568010979084e+01	-8.91958836689021e+01
3.63078054770097e+01	-3.72588321842540e+01	-8.92143705948669e+01
3.71535229097168e+01	-3.74609631038921e+01	-8.92324411809785e+01
3.80189396320557e+01	-3.76631984519479e+01	-8.92501049942723e+01
3.89045144994276e+01	-3.78655430523524e+01	-8.92673713870469e+01
3.98107170553493e+01	-3.80680019687882e+01	-8.92842495017599e+01
4.07380277804108e+01	-3.82705805162135e+01	-8.93007482758160e+01
4.16869383470331e+01	-3.84732842729962e+01	-8.93168764462504e+01
4.26579518801588e+01	-3.86761190936913e+01	-8.93326425543093e+01
4.36515832240161e+01	-3.88790911224969e+01	-8.93480549499309e+01
4.46683592150958e+01	-3.90822068074277e+01	-8.93631217961267e+01
4.57088189614870e+01	-3.92854729152440e+01	-8.93778510732681e+01
4.67735141287193e+01	-3.94888965471822e+01	-8.93922505832780e+01
4.78630092322633e+01	-3.96924851555296e+01	-8.94063279537301e+01
4.89778819368440e+01	-3.98962465610944e+01	-8.94200906418594e+01
5.01187233627267e+01	-4.01001889716215e+01	-8.94335459384829e+01
5.12861383991359e+01	-4.03043210012110e+01	-8.94467009718355e+01
5.24807460249767e+01	-4.05086516907982e+01	-8.94595627113210e+01
5.37031796370247e+01	-4.07131905297583e+01	-8.94721379711804e+01
5.49540873857618e+01	-4.09179474787051e+01	-8.94844334140804e+01
5.62341325190342e+01	-4.11229329935549e+01	-8.94964555546220e+01
5.75439937337150e+01	-4.13281580509358e+01	-8.95082107627729e+01
5.88843655355582e+01	-4.15336341750244e+01	-8.95197052672241e+01
6.02559586074351e+01	-4.17393734659003e+01	-8.95309451586727e+01
6.16595001861475e+01	-4.19453886295162e+01	-8.95419363930328e+01
6.30957344480186e+01	-4.21516930093860e+01	-8.95526847945759e+01
6.45654229034648e+01	-4.23583006201035e+01	-8.95631960590028e+01
6.60693448007588e+01	-4.25652261828123e+01	-8.95734757564472e+01
6.76082975391974e+01	-4.27724851627564e+01	-8.95835293344145e+01
6.91830970918928e+01	-4.29800938090517e+01	-8.95933621206559e+01
7.07945784384129e+01	-4.31880691968303e+01	-8.96029793259794e+01
7.24435960074981e+01	-4.33964292719202e+01	-8.96123860469994e+01
7.41310241300909e+01	-4.36051928982385e+01	-8.96215872688270e+01
7.58577575029175e+01	-4.38143799080897e+01	-8.96305878677000e+01
7.76247116628682e+01	-4.40240111555767e+01	-8.96393926135574e+01
7.94328234724272e+01	-4.42341085733509e+01	-8.96480061725563e+01
8.12830516164089e+01	-4.44446952329466e+01	-8.96564331095347e+01
8.31763771102661e+01	-4.46557954089663e+01	-8.96646778904206e+01
8.51138038202366e+01	-4.48674346474092e+01	-8.96727448845888e+01
8.70963589956070e+01	-4.50796398384577e+01	-8.96806383671666e+01
8.91250938133735e+01	-4.52924392940708e+01	-8.96883625212889e+01
9.12010839355898e+01	-4.55058628307601e+01	-8.96959214403052e+01
9.33254300796980e+01	-4.57199418579657e+01	-8.97033191299384e+01
